#DE10-Lite pin config

To,Location

KEY0, PIN_B8
KEY1, PIN_A7

SW0, PIN_C10
SW1, PIN_C11
SW2, PIN_D12
SW3, PIN_C12
SW4, PIN_A12
SW5, PIN_B12
SW6, PIN_A13
SW7, PIN_A14
SW8, PIN_B14
SW9, PIN_F15

LEDR0, PIN_A8
LEDR1, PIN_A9
LEDR2, PIN_A10
LEDR3, PIN_B10
LEDR4, PIN_D13
LEDR5, PIN_C13
LEDR6, PIN_E14
LEDR7, PIN_D14
LEDR8, PIN_A11
LEDR9, PIN_B11

HEX00, PIN_C14
HEX01, PIN_E15
HEX02, PIN_C15
HEX03, PIN_C16
HEX04, PIN_E16
HEX05, PIN_D17
HEX06, PIN_C17
HEX07, PIN_D15
HEX10, PIN_C18
HEX11, PIN_D18
HEX12, PIN_E18
HEX13, PIN_B16
HEX14, PIN_A17
HEX15, PIN_A18
HEX16, PIN_B17
HEX17, PIN_A16
HEX20, PIN_B20
HEX21, PIN_A20
HEX22, PIN_B19
HEX23, PIN_A21
HEX24, PIN_B21
HEX25, PIN_C22
HEX26, PIN_B22
HEX27, PIN_A19
HEX30, PIN_F21
HEX31, PIN_E22
HEX32, PIN_E21
HEX33, PIN_C19
HEX34, PIN_C20 
HEX35, PIN_D19
HEX36, PIN_E17
HEX37, PIN_D22
HEX40, PIN_F18
HEX41, PIN_E20
HEX42, PIN_E19
HEX43, PIN_J18
HEX44, PIN_H19
HEX45, PIN_F19
HEX46, PIN_F20
HEX47, PIN_F17
HEX50, PIN_J20
HEX51, PIN_K20
HEX52, PIN_L18

GPIO_0, PIN_V10
GPIO_1, PIN_W10
GPIO_2, PIN_V9
GPIO_3, PIN_W9
GPIO_4, PIN_V8
GPIO_5, PIN_W8
GPIO_6, PIN_V7
GPIO_7, PIN_W7
GPIO_8, PIN_W6
GPIO_9 PIN_V5
GPIO_10, PIN_W5
GPIO_11, PIN_AA15
GPIO_12, PIN_AA14
GPIO_13, PIN_W13
GPIO_14, PIN_W12
GPIO_15, PIN_AB13
GPIO_16, PIN_AB12
GPIO_17, PIN_Y11
GPIO_18, PIN_AB11
GPIO_19, PIN_W11
GPIO_20, PIN_AB10
GPIO_21, PIN_AA10
GPIO_22, PIN_AA9
GPIO_23, PIN_Y8 
GPIO_24, PIN_AA8
GPIO_25, PIN_Y7
GPIO_26, PIN_AA7
GPIO_27, PIN_Y6 
GPIO_28, PIN_AA6
GPIO_29, PIN_Y5
GPIO_30, PIN_AA5
GPIO_31, PIN_Y4
GPIO_32, PIN_AB3
GPIO_33, PIN_Y3
GPIO_34, PIN_AB2
GPIO_35 PIN_AA2

ADC_CLK_10, PIN_N5
MAX10_CLK1_50, PIN_P11
MAX10_CLK2_50, PIN_N14

Arduino_IO0, PIN_AB5
Arduino_IO1, PIN_AB6
Arduino_IO2, PIN_AB7
Arduino_IO3, PIN_AB8
Arduino_IO4, PIN_AB9
Arduino_IO5, PIN_Y10
Arduino_IO6, PIN_AA11
Arduino_IO7, PIN_AA12
Arduino_IO8, PIN_AB17
Arduino_IO9, PIN_AA17
Arduino_IO10, PIN_AB19
Arduino_IO11, PIN_AA19
Arduino_IO12, PIN_Y19
Arduino_IO13, PIN_AB20
Arduino_IO14, PIN_AB21
Arduino_IO15, PIN_AA20
ARDUINO_RESET_N, PIN_F16

VGA_R0, PIN_AA1
VGA_R1, PIN_V1
VGA_R2, PIN_Y2
VGA_R3, PIN_Y1
VGA_G0, PIN_W1
VGA_G1, PIN_T2
VGA_G2, PIN_R2
VGA_G3, PIN_R1
VGA_B0, PIN_P1
VGA_B1, PIN_T1
VGA_B2, PIN_P4
VGA_B3, PIN_N2
VGA_HS, PIN_N3
VGA_VS, PIN_N1

DRAM_ADDR0, PIN_U17
DRAM_ADDR1, PIN_W19
DRAM_ADDR2, PIN_V18
DRAM_ADDR3, PIN_U18
DRAM_ADDR4, PIN_U19
DRAM_ADDR5, PIN_T18
DRAM_ADDR6, PIN_T19
DRAM_ADDR7 ,PIN_R18
DRAM_ADDR8, PIN_P18
DRAM_ADDR9, PIN_P19
DRAM_ADDR10, PIN_T20
DRAM_ADDR11, PIN_P20
DRAM_ADDR12, PIN_R20
DRAM_DQ0, PIN_Y21
DRAM_DQ1, PIN_Y20
DRAM_DQ2, PIN_AA22
DRAM_DQ3, PIN_AA21
DRAM_DQ4, PIN_Y22
DRAM_DQ5, PIN_W22
DRAM_DQ6, PIN_W20
DRAM_DQ7, PIN_V21
DRAM_DQ8, PIN_P21
DRAM_DQ9, PIN_J22
DRAM_DQ10, PIN_H21
DRAM_DQ11, PIN_H22
DRAM_DQ12, PIN_G22
DRAM_DQ13, PIN_G20
DRAM_DQ14, PIN_G19
DRAM_DQ15, PIN_F22
DRAM_BA0, PIN_T21
DRAM_BA1, PIN_T22
DRAM_LDQM, PIN_V22
DRAM_UDQM, PIN_J21
DRAM_RAS_N, PIN_U22
DRAM_CAS_N, PIN_U21
DRAM_CKE, PIN_N22
DRAM_CLK, PIN_L14
DRAM_WE_N, PIN_V20
DRAM_CS_N, PIN_U20

GSENSOR_SDI, PIN_V11
GSENSOR_SDO, PIN_V12
GSENSOR_CS_n, PIN_AB16
GSENSOR_SCLK, PIN_AB15
GSENSOR_INT1, PIN_Y14
GSENSOR_INT2, PIN_Y13
